epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6266,1.31295,2.55164,1.2755,0.62498,0.48452,0.5331,0.33314,1.20817,1.58076,1.20499,0.000331865,0.000331865,0.000331865
2,98.4817,1.30586,1.71783,1.27052,0.57335,0.46046,0.49351,0.29549,1.30311,1.63163,1.26809,0.000660808,0.000660808,0.000660808
3,137.459,1.31495,1.624,1.27238,0.67036,0.51756,0.57771,0.35774,1.2363,1.39099,1.20206,0.000985351,0.000985351,0.000985351
4,179.742,1.31574,1.58035,1.27004,0.56855,0.48517,0.51755,0.30068,1.35867,1.98425,1.32382,0.0009802,0.0009802,0.0009802
5,220.401,1.30195,1.49939,1.27084,0.67574,0.57061,0.64208,0.40468,1.20683,1.25368,1.21446,0.0009736,0.0009736,0.0009736
6,263.833,1.25948,1.38862,1.242,0.66361,0.58487,0.60085,0.38728,1.19473,1.26667,1.20523,0.000967,0.000967,0.000967
7,304.861,1.24562,1.36352,1.23261,0.70803,0.61584,0.67392,0.41334,1.18497,1.16539,1.19128,0.0009604,0.0009604,0.0009604
8,348.322,1.22911,1.29645,1.22962,0.71329,0.56991,0.63139,0.40718,1.19761,1.33059,1.20939,0.0009538,0.0009538,0.0009538
9,389.28,1.21513,1.25537,1.21616,0.74979,0.6552,0.72942,0.47059,1.10683,1.09445,1.15243,0.0009472,0.0009472,0.0009472
10,430.345,1.19172,1.20949,1.20894,0.72425,0.66538,0.73323,0.47568,1.12179,1.10536,1.1434,0.0009406,0.0009406,0.0009406
11,472.274,1.1856,1.16285,1.2051,0.75845,0.68389,0.75379,0.4849,1.09324,1.00128,1.1425,0.000934,0.000934,0.000934
12,517.281,1.16752,1.13145,1.19085,0.74002,0.67336,0.71614,0.47096,1.11526,1.27254,1.15742,0.0009274,0.0009274,0.0009274
13,548.654,1.16377,1.11626,1.18713,0.78423,0.64741,0.72143,0.47264,1.12025,1.11872,1.16533,0.0009208,0.0009208,0.0009208
14,580.206,1.16205,1.09683,1.18454,0.76721,0.68489,0.74036,0.48527,1.08889,0.94902,1.13089,0.0009142,0.0009142,0.0009142
15,615.104,1.13957,1.07527,1.17669,0.80995,0.67448,0.77654,0.51642,1.07839,0.88799,1.12627,0.0009076,0.0009076,0.0009076
16,658.921,1.13425,1.05804,1.17877,0.79455,0.73058,0.80921,0.53952,1.05122,0.86423,1.11268,0.000901,0.000901,0.000901
17,691.125,1.15923,1.06709,1.18188,0.8231,0.72905,0.81676,0.54656,1.05588,0.82271,1.11425,0.0008944,0.0008944,0.0008944
18,723.446,1.12487,1.01164,1.16853,0.78395,0.74827,0.81434,0.54509,1.05148,0.81161,1.11265,0.0008878,0.0008878,0.0008878
19,753.322,1.12504,1.00356,1.16595,0.82055,0.73865,0.8258,0.5479,1.05068,0.80922,1.11605,0.0008812,0.0008812,0.0008812
20,783.541,1.09901,0.97143,1.15598,0.81299,0.74865,0.81975,0.55491,1.03921,0.77348,1.11196,0.0008746,0.0008746,0.0008746
21,813.391,1.1018,0.95081,1.15303,0.81633,0.76596,0.83798,0.5572,1.04814,0.74966,1.12836,0.000868,0.000868,0.000868
22,842.194,1.08292,0.93742,1.14717,0.79063,0.7301,0.79911,0.53414,1.04363,0.78559,1.10253,0.0008614,0.0008614,0.0008614
23,872.478,1.09109,0.92923,1.1455,0.84052,0.76022,0.83413,0.56313,1.04202,0.74888,1.10725,0.0008548,0.0008548,0.0008548
24,903.556,1.08016,0.92483,1.14472,0.81603,0.74353,0.82712,0.56285,1.02464,0.75447,1.10142,0.0008482,0.0008482,0.0008482
25,932.828,1.08715,0.92119,1.14757,0.82475,0.7403,0.82162,0.56069,1.01742,0.71458,1.09461,0.0008416,0.0008416,0.0008416
26,961.836,1.07112,0.90529,1.14132,0.81748,0.78917,0.84147,0.57379,1.00502,0.72405,1.10051,0.000835,0.000835,0.000835
27,991.346,1.07009,0.89649,1.14372,0.82291,0.75948,0.84237,0.57747,1.01848,0.71139,1.11002,0.0008284,0.0008284,0.0008284
28,1020.32,1.05886,0.87293,1.12949,0.82852,0.78039,0.84633,0.5836,0.99191,0.67094,1.08344,0.0008218,0.0008218,0.0008218
29,1049.62,1.05749,0.86278,1.13401,0.83052,0.75864,0.8319,0.57246,1.00509,0.71751,1.09432,0.0008152,0.0008152,0.0008152
30,1079.77,1.05385,0.87396,1.12588,0.79682,0.77468,0.83149,0.58185,0.97505,0.69275,1.06156,0.0008086,0.0008086,0.0008086
31,1109.29,1.05661,0.85614,1.12952,0.8432,0.78667,0.863,0.59475,0.98152,0.65311,1.07484,0.000802,0.000802,0.000802
32,1138.38,1.03932,0.84486,1.1261,0.84164,0.75448,0.83721,0.58231,0.97038,0.65998,1.06029,0.0007954,0.0007954,0.0007954
33,1168.59,1.03944,0.85246,1.12578,0.86348,0.77746,0.86879,0.60794,0.97321,0.63662,1.07506,0.0007888,0.0007888,0.0007888
34,1198.16,1.04349,0.83668,1.11597,0.83864,0.782,0.86215,0.60361,0.96003,0.64389,1.07213,0.0007822,0.0007822,0.0007822
35,1227.83,1.03567,0.83667,1.12065,0.85548,0.79416,0.86987,0.60659,0.96738,0.64756,1.0613,0.0007756,0.0007756,0.0007756
36,1258.17,1.04181,0.83146,1.11915,0.85837,0.7971,0.87017,0.60341,0.96624,0.64828,1.06751,0.000769,0.000769,0.000769
37,1289.44,1.00539,0.78892,1.10894,0.8598,0.77771,0.86419,0.60525,0.96274,0.63795,1.06655,0.0007624,0.0007624,0.0007624
38,1319.55,1.03004,0.80367,1.11608,0.83645,0.79577,0.85889,0.60093,0.9565,0.64148,1.07526,0.0007558,0.0007558,0.0007558
39,1348.59,1.03747,0.81841,1.12567,0.8555,0.78005,0.86436,0.59831,0.9639,0.65763,1.0658,0.0007492,0.0007492,0.0007492
40,1377.84,1.01806,0.77707,1.109,0.86791,0.79377,0.87001,0.6063,0.96311,0.62319,1.07337,0.0007426,0.0007426,0.0007426
41,1406.73,1.0265,0.78237,1.11268,0.88773,0.77878,0.87034,0.61329,0.94817,0.61366,1.05597,0.000736,0.000736,0.000736
42,1437,1.01738,0.78419,1.10832,0.86942,0.78137,0.86686,0.61389,0.94584,0.61188,1.06199,0.0007294,0.0007294,0.0007294
43,1465.76,1.00366,0.77254,1.09895,0.89617,0.77755,0.86993,0.61446,0.9504,0.605,1.04752,0.0007228,0.0007228,0.0007228
44,1495.32,1.01601,0.76373,1.10846,0.88757,0.78694,0.87173,0.61731,0.94798,0.61034,1.05843,0.0007162,0.0007162,0.0007162
45,1524.17,1.00112,0.77458,1.09896,0.86147,0.8123,0.87924,0.62075,0.95555,0.60346,1.06984,0.0007096,0.0007096,0.0007096
46,1553.5,0.98985,0.75389,1.09321,0.88483,0.79968,0.88295,0.62931,0.92024,0.58117,1.03682,0.000703,0.000703,0.000703
47,1582.72,0.98364,0.75515,1.0979,0.8636,0.81021,0.87504,0.62614,0.91723,0.59029,1.04089,0.0006964,0.0006964,0.0006964
